E_SEGMENT_0,M_SEGMENT_0,M_SEGMENT_1,M_SEGMENT_2,M_SEGMENT_3,M_SEGMENT_4,M_SEGMENT_CONCAT
CIB,CIB,CIB,Client,Client,Client,;L0CIB;L1CIB;L2Client;L3Client;L4Client;
CIB,CIB,CIB,Own Acc,Client,Own Acc,;L0CIB;L1CIB;L2Own Acc;L3Client;L4Own Acc;
CIB,CIB,CIB,Own Acc,Trading,Own Acc,;L0CIB;L1CIB;L2Own Acc;L3Trading;L4Own Acc;
FPNA,CIB,CIB,Client,Client,Client,;L0CIB;L1CIB;L2Client;L3Client;L4Client;
FPNA,CIB,CIB ex Own Acc,Client,Client,CTA,;L0CIB;L1CIB ex Own Acc;L2Client;L3Client;L4CTA;
FPNA,CIB,CIB ex Own Acc,Client,Client,FI,;L0CIB;L1CIB ex Own Acc;L2Client;L3Client;L4FI;
FPNA,CIB,CIB ex Own Acc,Client,Client,GC,;L0CIB;L1CIB ex Own Acc;L2Client;L3Client;L4GC;
FPNA,CIB,CIB ex Own Acc,Client,Client,High Value SB,;L0CIB;L1CIB ex Own Acc;L2Client;L3Client;L4High Value SB;
FPNA,CIB,CIB ex Own Acc,Client,Client,LC,;L0CIB;L1CIB ex Own Acc;L2Client;L3Client;L4LC;
FPNA,CIB,CIB ex Own Acc,Client,Client,Medium Enterprises,;L0CIB;L1CIB ex Own Acc;L2Client;L3Client;L4Medium Enterprises;
FPNA,CIB,CIB ex Own Acc,Client,Client,Middle Markets,;L0CIB;L1CIB ex Own Acc;L2Client;L3Client;L4Middle Markets;
FPNA,CIB,CIB ex Own Acc,Client,Client,Others,;L0CIB;L1CIB ex Own Acc;L2Client;L3Client;L4Others;
FPNA,CIB,Own Acc,Own Acc,Client,Own Acc,;L0CIB;L1Own Acc;L2Own Acc;L3Client;L4Own Acc;
FPNA,Central & Others,Central & Others,Central & Others,Central & Others,Central & Others,;L0Central & Others;L1Central & Others;L2Central & Others;L3Central & Others;L4Central & Others;
FPNA,Central & Others,Central & Others,Central & Others,Central & Others,Central & Others test,;L0Central & Others;L1Central & Others;L2Central & Others;L3Central & Others;L4Central & Others test;
FPNA,Central & Others,Central & Others,Central & Others,Central & Others,Other Segment,;L0Central & Others;L1Central & Others;L2Central & Others;L3Central & Others;L4Other Segment;
FPNA,Total Customers Unsegmented,Total Customers Unsegmented,Total Customers Unsegmented,Total Customers Unsegmented,Total Customers Unsegmented,;L0Total Customers Unsegmented;L1Total Customers Unsegmented;L2Total Customers Unsegmented;L3Total Customers Unsegmented;L4Total Customers Unsegmented;
FPNA,Ventures,Ventures,Client,Ventures,Ventures,;L0Ventures;L1Ventures;L2Client;L3Ventures;L4Ventures;
FPNA,Ventures,Ventures,Ventures,Ventures,Ventures,;L0Ventures;L1Ventures;L2Ventures;L3Ventures;L4Ventures;
FPNA,WRB,PvB,Client,PvB,Private Banking,;L0WRB;L1PvB;L2Client;L3PvB;L4Private Banking;
FPNA,WRB,PvB,PvB,PvB,PvB,;L0WRB;L1PvB;L2PvB;L3PvB;L4PvB;
FPNA,WRB,WRB,WRB,WRB,WRB,;L0WRB;L1WRB;L2WRB;L3WRB;L4WRB;
FPNA,WRB,WRB Ex PvB,Client,Affluent ex PVB,Affluent Other,;L0WRB;L1WRB Ex PvB;L2Client;L3Affluent ex PVB;L4Affluent Other;
FPNA,WRB,WRB Ex PvB,Client,Affluent ex PVB,Premium Banking,;L0WRB;L1WRB Ex PvB;L2Client;L3Affluent ex PVB;L4Premium Banking;
FPNA,WRB,WRB Ex PvB,Client,Affluent ex PVB,Priority Banking,;L0WRB;L1WRB Ex PvB;L2Client;L3Affluent ex PVB;L4Priority Banking;
FPNA,WRB,WRB Ex PvB,Client,Personal Banking,Personal banking,;L0WRB;L1WRB Ex PvB;L2Client;L3Personal Banking;L4Personal banking;
FPNA,WRB,WRB Ex PvB,Client,SME Banking,SME Banking,;L0WRB;L1WRB Ex PvB;L2Client;L3SME Banking;L4SME Banking;
FPNA,WRB,WRB Ex PvB,Client,WRB Other,WRB Other,;L0WRB;L1WRB Ex PvB;L2Client;L3WRB Other;L4WRB Other;
FPNA,WRB,WRB Ex PvB,Own Acc,WRB Other,WRB Other,;L0WRB;L1WRB Ex PvB;L2Own Acc;L3WRB Other;L4WRB Other;
FPNA,WRB,WRB Ex PvB,WRB Ex PvB,WRB Ex PvB,WRB Ex PvB,;L0WRB;L1WRB Ex PvB;L2WRB Ex PvB;L3WRB Ex PvB;L4WRB Ex PvB;
WRB,Memo,WRB Ex PvB,WRB Ex PvB,WRB Ex PvB,WRB Ex PvB,;L0Memo;L1WRB Ex PvB;L2WRB Ex PvB;L3WRB Ex PvB;L4WRB Ex PvB;
WRB,Memo,WRB Ex PvB & SME,WRB Ex PvB & SME,WRB Ex PvB & SME,WRB Ex PvB & SME,;L0Memo;L1WRB Ex PvB & SME;L2WRB Ex PvB & SME;L3WRB Ex PvB & SME;L4WRB Ex PvB & SME;
WRB,Ventures,Ventures,Ventures,Ventures,Ventures,;L0Ventures;L1Ventures;L2Ventures;L3Ventures;L4Ventures;
WRB,WRB,SME Banking,SME Banking,SME Banking,SME Banking Core,;L0WRB;L1SME Banking;L2SME Banking;L3SME Banking;L4SME Banking Core;
WRB,WRB,SME Banking,SME Banking,SME Banking,SME Banking ME,;L0WRB;L1SME Banking;L2SME Banking;L3SME Banking;L4SME Banking ME;
WRB,WRB,WRB Ex SME,Affluent Banking,Affluent Ex PvB,Affluent Other,;L0WRB;L1WRB Ex SME;L2Affluent Banking;L3Affluent Ex PvB;L4Affluent Other;
WRB,WRB,WRB Ex SME,Affluent Banking,Affluent Ex PvB,Premium Banking,;L0WRB;L1WRB Ex SME;L2Affluent Banking;L3Affluent Ex PvB;L4Premium Banking;
WRB,WRB,WRB Ex SME,Affluent Banking,Affluent Ex PvB,Priority Banking,;L0WRB;L1WRB Ex SME;L2Affluent Banking;L3Affluent Ex PvB;L4Priority Banking;
WRB,WRB,WRB Ex SME,Affluent Banking,Private Banking,Private Banking,;L0WRB;L1WRB Ex SME;L2Affluent Banking;L3Private Banking;L4Private Banking;
WRB,WRB,WRB Ex SME,Personal banking,Personal banking,Personal banking,;L0WRB;L1WRB Ex SME;L2Personal banking;L3Personal banking;L4Personal banking;
WRB,WRB,WRB Ex SME,WRB Other,Mgt & Others,Mgt & Others,;L0WRB;L1WRB Ex SME;L2WRB Other;L3Mgt & Others;L4Mgt & Others;
WRB,WRB,WRB Ex SME,WRB Other,WM,WM,;L0WRB;L1WRB Ex SME;L2WRB Other;L3WM;L4WM;
WRB,WRB,WRB Ex SME,WRB Other,WRB Other,WRB Other,;L0WRB;L1WRB Ex SME;L2WRB Other;L3WRB Other;L4WRB Other;
