category,product,Prompt Template,Original_Prompt (Example)
ISIN position,Bonds,Provide total [select metric] for ISIN [input ISIN] in [select country] country.,Provide total MtM for ISIN US91282CGB19 in HONG KONG country.
ISIN position,Bonds,"For [select country] country, calculate difference for [select metric], [select metric2] and [select metric3] between ISIN [input ISIN] and ISIN [input ISIN2].","For HONG KONG country, calculate difference for Bond notional, MtM and RWA between ISIN US91282CGB19 and ISIN HK000109253."
ISIN position,Bonds,"For [select country] country, provide [select product] with the most negative [select metric] for the [select COB date] COB date.","For UK country, provide Bonds with the most negative MtM for the most recent COB date."
ISIN position,Bonds,Provide a list of countries where ISIN [input ISIN] was held.,Provide a list of countries where ISIN US91282CGB19 was held.
Maturity snapshot,Issuances,"Provide [select metric] of [select coupon type] rate [select product] in the [select country] country maturing in [input month year], for the [select COB date] COB date.","Provide notional of Fixed rate Issuances in the US country maturing in August 2025, for the most recent COB date."
Maturity snapshot,Issuances,"Provide weighted average holding yield of [select coupon type] rate [select product] in [select country] country maturing in [input month year], for the [select COB date] COB date.","Provide weighted average holding yield of Fixed rate Issuances in US country maturing in August 2025, for the most recent COB date."
Maturity snapshot,Issuances,"Provide [select metric] of [select product] in [select country] country maturing from [input month year] to [input month year2], for [select COB date] COB date.","Provide notional of Issuances in US country maturing from January 2025 to March 2025, for December 2024 COB date."
Maturity snapshot,Bonds,"For [select country] country, list [select model] [select metric] by maturity year and month","For NIGERIA country, list FVOCI bonds notional by maturity year and month"
Maturity snapshot,Bonds,"For [select country] country, provide [select metric] for [select model] grouped by maturity year and month.","For NIGERIA country, provide bond notional for FVOCI grouped by maturity year and month."
Maturity snapshot,Bonds,"For bonds in [select country] country, provide [select metric] and calculate weighted average maturity.","For bonds in UNITED ARAB EMIRATES country, provide notional and calculate weighted average maturity."
Maturity snapshot,Bonds,"For portfolio [input portfolio], calculate weighted average maturity for [select product].","For portfolio UKEHTC, calculate weighted average maturity for bonds."
Maturity snapshot,Bonds,"For [select country] country, calculate weighted average maturity for [select product].","For Kenya country, calculate weighted average maturity for bonds."
Position snapshot,Bonds,"For [select country] country, provide total amount of [select metric] and [select metric2] for [select model].","For INDIA country, provide total amount of Bond MtM and RWA for FVOCI."
Position snapshot,Bonds,"For [select country] country, provide [select metric] and [select metric2] amounts.","For KENYA country, provide notional and MTM amounts for bonds."
Position snapshot,IRS,"For [select country] country, provide [select metric] amount for [select product].","For TAIWAN country, provide MtM amount for IRS."
Position snapshot,IRS,"For [select country] country, provide [select metric] amount for [select product].","For TAIWAN country, provide PV01 amount for IRS."
Position snapshot,Bonds,"For [select country] country, provide [select metric] amount for [select product].","For UK country, provide MtM amount for Bonds."
Position snapshot,Bonds,"For [select country] country, provide [select metric], [select metric2], [select metric3] and [select metric4] amounts.","For UNITED KINGDOM country, provide MtM, PV01, RWA and CR Delta amounts."
Position snapshot,Issuances,Provide [select metric] and [select metric2] amounts for [select product] and [select product2].,Provide notional and Book Value amounts for Bonds and Issuances.
Position snapshot,Bonds,Provide [select metric] and [select metric2] amounts for [select model] portfolios for COB [select COB date],Provide notional and PV01 amounts for FVOCI portfolios for COB March 2025
Position snapshot,Bonds,"For [select country] country, provide [select metric] amount for [select product].","For KENYA country, provide MtM amount for Bonds."
Position snapshot,Bonds,"For [select country] country, provide [select metric] for the structural hedges.","For GERMANY country, provide notional for the structural hedges."
Position snapshot,Bonds,"For [select country] country, provide [select metric] amount for COB [select COB date]","For UAE country, provide Book Value amount for COB May 2025"
Position split,Bonds,Provide [select metric] for [select country] country and group it by [select attribute].,Provide RWA for UNITED KINGDOM country and group it by securities type.
Position split,Bonds,"For [select country] country, provide [select product] [select metric] amount and group it by [select attribute].","For NIGERIA country, provide Bonds notional amount and group it by currency."
Position split,Issuances,"For [select country] country, provide [select metric] amounts for [select attribute] and group by [select attribute2] and [select attribute3].","For UNITED ARAB EMIRATES country, provide notional amounts for HQLA category and group by currency and issuer name."
Trend Analytics,Issuances,"For [select product] in [select country] country, provide [select metric] trend over the period.","For Issuances in US country, provide notional trend over the period."
Trend Analytics,Bonds,What is the month on month [select metric] change in [select product] held in [select country] country for COB [select COB date]?,What is the month on month notional change in Securities held in UNITED STATES OF AMERICA country for COB February 2025?
Trend Analytics,Bonds,"For [select country] country, provide over the period trend for [select metric], [select metric2], [select metric3] and [select metric4] amounts.","For UNITED KINGDOM country, provide over the period trend for MtM, PV01, RWA and CR Delta amounts."
Trend Analytics,IRS,"For [select product] and [select product2] in [select country] country, provide over the period trend of [select metric] and [select metric2].","For Bonds and IRS in UNITED KINGDOM country, provide over the period trend of PV01 and MtM."
Trend Analytics,Bonds,"For [select country] country, provide over the period trend for [select metric], [select metric2] and [select metric3].","For TAIWAN country, provide over the period trend for notional, PV01 and MtM."
Trend Analytics,Bonds,"For [select country] [select model], calculate [select metric] change from [select COB date] to the [select COB date2] COB date.","For UK FVOCI, calculate notional change from January 2025 to the most recent COB date."
Yield snapshot,Issuances,What is the weighted average discount margin (spread) of outstanding and new [select product] in the [select country] as of [select COB date]?,What is the weighted average discount margin (spread) of outstanding and new Issuances in the UNITED STATES OF AMERICA as of March 2025?
Yield snapshot,Bonds,Provide weighted average holding yield for [select product].,Provide weighted average holding yield for Bonds.
Yield snapshot,Bonds,"For [select product] in [select country] country, calculate weighted average holding yield.","For Bonds in KENYA country, calculate weighted average holding yield."
Yield snapshot,Bonds,"For bonds in [select country] country, provide [select metric] and calculate weighted average holding yield for COB [select COB date]. Present results by [select attribute].","For bonds in UNITED ARAB EMIRATES country, provide notional and calculate weighted average holding yield for COB 2025-07-15. Present results by portfolio."
Yield snapshot,Bonds,"For portfolio [input portfolio], calculate weighted average holding yield and maturity for [select product].","For portfolio HKALMSSA, calculate weighted average holding yield and maturity for bonds."
Yield snapshot,Bonds,Provide weighted average holding yield for [select product] in portfolio [input portfolio] for COB [select COB date] and [select COB date] and calculate the difference between them.,Provide weighted average holding yield for bonds in portfolio UKBONDIM for COB December 2024 and 2025-07-15 and calculate the difference between them.
Yield snapshot,Bonds,"For [select country] country, calculate the weighted average holding yield and maturity for [select product] for COB [select COB date]. Present results by [select attribute].","For United Arab Emirates country, calculate the weighted average holding yield and maturity for bonds for COB 2025-07-15. Present results by portfolio."
Yield snapshot,Bonds,"For [select product] in [select country] country, calculate weighted average Market Yield.","For bonds in Kenya country, calculate weighted average Market yield."
